word,index
pulsa,2054
cakap,2055
langgan,2056
saungsaung,2057
praktis,2058
golput,2059
supporting,2060
klasik,2061
schallenberg,2062
yogyakarta,2063
menegative,2064
rumput,2065
rujak,2066
iris,2067
adik,2068
cermin,2069
elit,2070
defend,2071
reason,2072
jadwal,2073
kagum,2074
sirlo,2075
cerah,2076
panglima,2077
nyinyir,2078
organisasi,2079
sehar,2080
gugah,2081
tunda,2082
dewan,2083
imbas,2084
youre,2085
joe,2086
abai,2087
tidak_libat,2088
evil,2089
rw,2090
cilik,2091
outlet,2092
cihampelas,2093
republik,2094
ayah,2095
galau,2096
maling,2097
civilians,2098
tuberculosis,2099
isis,2100
cium,2101
use,2102
region,2103
politikus,2104
turkey,2105
wkwkw,2106
gaduh,2107
ajang,2108
around,2109
rockets,2110
big,2111
memulyan,2112
memusic,2113
kendali,2114
lampulampu,2115
clear,2116
jempol,2117
bajing,2118
renang,2119
tidak_lupa,2120
serikat,2121
setan,2122
jabar,2123
kill,2124
memengetahu,2125
kuota,2126
mementr,2127
deal,2128
meme,2129
policy,2130
tidak_berani,2131
done,2132
call,2133
raka,2134
singapura,2135
budiman,2136
jne,2137
indonesi,2138
halfton,2139
hobi,2140
konser,2141
dollars,2142
paskal,2143
mau,2144
didnt,2145
kesiap,2146
boikot,2147
sik,2148
langit,2149
kucing,2150
tidak_ragu,2151
army,2152
tega,2153
bocil,2154
indikator,2155
hasan,2156
lampung,2157
western,2158
jangka,2159
russi,2160
enemy,2161
mulia,2162
kontan,2163
cant,2164
launched,2165
betapa,2166
tato,2167
kecut,2168
ibadah,2169
tidak_ramai,2170
suhu,2171
ampun,2172
sekutu,2173
fire,2174
indak,2175
karir,2176
undangundang,2177
lintas,2178
memassive,2179
fadli,2180
profesional,2181
laknatullah,2182
cok,2183
smk,2184
beasiswa,2185
massa,2186
kocok,2187
pela,2188
anakkolong,2189
tipe,2190
otot,2191
gitu,2192
ww,2193
memaget,2194
setia,2195
melulu,2196
kanit,2197
bpjs,2198
komplit,2199
swt,2200
handphone,2201
jatim,2202
care,2203
jari,2204
blunder,2205
prof,2206
sudut,2207
job,2208
melayu,2209
tindas,2210
mama,2211
ekspor,2212
control,2213
instagram,2214
saham,2215
bill,2216
started,2217
